,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0x6142...8249ed,37503202,"Sep 03, 2020  20:36:09  /  UTC+9",0x6142...8249ed,0x2968...c4e5a8,-10000,0.000775,150822070.0
0xa539...ba0442,37503339,"Sep 03, 2020  20:38:26  /  UTC+9",0xa539...ba0442,0x2968...c4e5a8,-5352,0.000775,150791187.0
0x085b...726798,37503326,"Sep 03, 2020  20:38:13  /  UTC+9",0x085b...726798,0x2968...c4e5a8,-4119,0.000775,150791187.0
0xf854...b18a23,37503313,"Sep 03, 2020  20:38:00  /  UTC+9",0xf854...b18a23,0x2968...c4e5a8,-21410,0.000775,150791187.0
0x5884...09115f,37503351,"Sep 03, 2020  20:38:38  /  UTC+9",0x5884...09115f,0x2968...c4e5a8,-21410,0.000775,150769776.0
0x47b6...764f03,37503444,"Sep 03, 2020  20:40:11  /  UTC+9",0x47b6...764f03,0x2968...c4e5a8,-70,0.000775,150753706.0
0xc26f...311945,37503431,"Sep 03, 2020  20:39:58  /  UTC+9",0xc26f...311945,0x2968...c4e5a8,-16000,0.000775,150753706.0
0x70f2...77ab4b,37503597,"Sep 03, 2020  20:42:44  /  UTC+9",0x70f2...77ab4b,0x2968...c4e5a8,-5539,0.000775,150764064.0
0x28df...f617c3,37503562,"Sep 03, 2020  20:42:09  /  UTC+9",0x28df...f617c3,0x2968...c4e5a8,16000,0.000775,150764064.0
0x593f...81d938,37503522,"Sep 03, 2020  20:41:29  /  UTC+9",0x593f...81d938,0x2968...c4e5a8,-102,0.000775,150764064.0
0x5742...b7bee4,37503628,"Sep 03, 2020  20:43:15  /  UTC+9",0x5742...b7bee4,0x2968...c4e5a8,50,0.000775,150748419.0
0x89eb...fa34bd,37503609,"Sep 03, 2020  20:42:56  /  UTC+9",0x89eb...fa34bd,0x2968...c4e5a8,-15695,0.000775,150748419.0
0x9fad...c3d6d3,37503769,"Sep 03, 2020  20:45:36  /  UTC+9",0x9fad...c3d6d3,0x2968...c4e5a8,-1,0.000775,150771017.0
0xbefa...5eaeb3,37503768,"Sep 03, 2020  20:45:35  /  UTC+9",0xbefa...5eaeb3,0x2968...c4e5a8,2000,0.000775,150771017.0
0x3542...6d4c20,37503763,"Sep 03, 2020  20:45:30  /  UTC+9",0x3542...6d4c20,0x2968...c4e5a8,42000,0.000775,150771017.0
